cluster,mean,median,std,min,max,range,cv,q25,q50,q75,q90,q95,peak_value,peak_day,peak_ratio,trend_slope,avg_daily_change,volatility,max_daily_increase,max_daily_decrease,mon_avg,tue_avg,wed_avg,thu_avg,fri_avg,sat_avg,sun_avg,weekend_avg,weekday_avg,weekend_ratio,low_days_pct,high_days_pct,zero_days_pct
0,5.184016848029144,4.8223156189589425,2.156122648941547,1.670992265939523,14.284443468120955,12.613451202181432,0.45275852520078186,3.664275081315953,4.8223156189589425,6.3400540533829925,7.962445470976324,9.082324089669239,14.284443468120955,193.60955927995033,3.0458271815534363,-0.0005571222541020579,0.0007227330165843717,2.183703607974948,8.490055531967723,-8.376796286601047,5.5322659481927134,5.126984589584996,5.068470119448367,5.055429214422139,5.031185968450079,5.125631940571688,5.329293471030211,5.227462705800949,5.162867168019659,1.0151608509942072,24.84263642448383,5.197583637929548,0.6774851467588898
1,14.018658453131073,12.568337113269314,6.92431946560099,4.028538682453077,41.56583513400262,37.537296451549544,0.5197931443390943,8.801215274552597,12.568337113269314,17.92315565582715,23.193817765560894,26.780620162723704,41.56583513400262,208.24989087734613,3.182787746445372,-0.0040706456396892845,0.007918611797957597,5.029471394582834,21.51995354233959,-20.919800901571364,14.668962811196822,13.830995646547528,13.780562524955512,13.812318029534467,13.677123050653897,13.92201541726824,14.327251438681463,14.124633427974851,13.953992412577646,1.0169431549288694,24.666204265649387,5.202728963245098,0.7045436879271479
2,29.35705606283289,25.093227587878786,18.95652406851149,6.149056428282829,97.82446052556782,91.67540409728498,0.6933765602332249,14.103936716161616,25.093227587878786,40.69231343939394,55.205932616969704,64.46343335286466,97.82446052556782,202.99191919191918,3.7545749524157332,-0.02030327240867251,0.017097683757908745,10.57365387344377,48.98958953298593,-47.12990820691723,28.851462576574985,29.521238733605596,29.545518642134425,29.600637838279567,29.338730363575912,29.393459160720436,28.958720221953072,29.176089691336752,29.3715176308341,1.0035616420751126,24.273972602739725,5.19966791199668,1.5466998754669987
3,1.1773146823083633,0.5164106052631579,1.7998638779256837,0.001888157894736842,10.416513766236852,10.414625608342115,2.365402645075516,0.00265625,0.5164106052631579,1.8163008700657894,3.3428995000000006,4.309282103618422,10.416513766236852,133.5016447368421,27.146612082134904,-0.0008548902906282088,-0.002004925087369881,1.1751775192185148,7.019127088710531,-7.186375333671063,1.218395042255061,1.1443920526632085,1.1560909960146761,1.157425224221913,1.1605694588183197,1.191904084006073,1.2070934070091093,1.1994987455075912,1.1673745547946357,1.2442695454889932,1.3338139870223504,3.5089221341023795,75.82507209805335
4,84.4987662954395,81.17718888888889,31.383349546129594,29.612922222222224,164.1246045654234,134.51168234320116,0.4005716428053966,57.97378888888888,81.17718888888889,107.8838398089779,127.69405232622259,137.3183932463116,164.1246045654234,138.9,2.064884655876901,-0.030637342958253596,0.015881150059096537,21.643045885077626,80.5965052255115,-78.9076509025782,74.42505833568384,87.70489575860867,89.0046807477796,88.2614316913608,87.17409691639325,86.4559306066377,78.36849499192145,82.41221279927957,85.31403268996525,0.9647139139070476,24.654490106544902,4.447488584474886,0.35920852359208527
