Cluster,Type,Households,Direct MAE,Global Recursive MAE,Improvement,Improvement %
0,Low/Vacant,444,1.6732,1.7218838733088018,-0.04868387330880175,-2.909626662013014
1,Medium,14620,3.1541,2.74351822496802,0.41058177503198,13.017398783550934
2,Intermittent,66,0.7151,0.8119639693735645,-0.09686396937356456,-13.545513826536787
3,High,2417,18.8604,14.642701907305618,4.217698092694381,22.362718143275757
