household_id,cluster,mae,actual_mean,predicted_mean
22,1,9.452760371839972,17.22025956284153,9.539798124575121
42,3,16.0343060787275,15.447368852459016,20.98644018570768
56,1,5.169795565648187,3.619371584699453,7.017190054779915
58,1,8.096261136044841,13.230661202185793,15.109505933202625
64,1,0.35066862634720014,2.5335683060109293,2.2810514218970117
88,3,10.849280507434273,19.596169398907104,13.630553523471452
95,1,5.8241490333836285,11.45894262295082,15.220531719696412
163,1,4.015728187657144,14.126136612021856,17.49475437996764
198,1,11.726695840965824,11.935920765027321,23.066127574687997
202,1,2.288200891992499,3.8103825136612026,5.857620778898822
209,1,2.2183799339818226,2.4904480874316937,4.5099007991031135
218,1,4.414195354025666,6.4912240819672125,10.323875778830583
223,3,8.107243620814417,19.58884972677596,15.112868889882556
228,1,2.284367638673562,5.938674863387978,7.0190289496337
245,1,2.4005429501359687,4.757601092896175,2.620564984593286
246,1,1.185680867553652,5.175549172131147,4.473119915626322
322,1,1.5435729106898037,1.991581967213115,0.5776623911933023
325,1,1.3261041034043584,7.148950819672131,7.3233353515169854
342,1,1.1974657050442827,3.3480245901639343,3.7590826814695215
344,1,3.3507971456458203,5.940445355191256,2.6546305122304923
352,1,3.001009468686225,5.592871584699454,7.809399137764383
358,1,1.198847429136165,2.0637213114754096,2.218058250580922
362,3,6.656290753024228,15.144975338797813,15.780481501047323
451,1,1.1463640138349405,4.828964480874317,4.822737355090929
471,1,0.8239557635040311,1.6812103825136615,2.010356744912299
474,1,2.2652871870317375,9.193002732240437,11.093797123775149
500,3,6.04488373943161,15.041789617486339,10.897353048298989
518,1,3.1705807620709447,8.452860655737705,6.794506008752798
519,1,2.5903939487020957,7.3879207650273235,9.543041516355498
545,1,2.775929191806439,9.212603825136613,9.90624437267808
559,1,0.16225265553249676,0.13088251366120218,0.2920275017109127
602,1,0.4576573760733166,1.3076202185792347,1.079953703161249
604,1,7.5532976387882425,16.38992076502732,15.017843763606972
611,1,1.6575588510378734,6.773581967213116,6.007486415541014
618,3,6.707247736623614,17.586204918032784,15.147988529270798
635,1,2.092026291600034,10.307472677595628,9.890355435460755
654,3,4.8274883555109565,14.600191256830602,14.309562227214816
664,1,4.32658997529194,13.308737704918034,15.415698177636006
675,1,1.896358012349343,6.197196721311475,7.253697288857659
720,1,0.8124377494074267,2.1567896174863384,2.084721890522685
728,1,1.1019485557785473,6.005270491803279,5.888026000499965
774,1,5.390382065679106,6.910926229508197,11.140855649574366
804,1,0.7545591846150462,1.8021939836065575,2.2333915286650594
810,3,3.315342176384485,15.708770508196721,15.28401571013228
823,1,2.952658079168669,10.018953551912569,12.593664887501795
827,1,2.517561478329647,7.913139344262296,9.92976566459198
841,1,2.004363726879461,1.1743333333333332,2.2740076458516865
860,1,1.8057342306360258,6.287718579234972,5.8487332172117235
871,3,7.754547228965179,23.15063387978142,22.71533646706331
873,1,3.39566866918583,0.929464480874317,4.152750497808378
885,1,0.9838182384770483,5.009612021857923,4.784596011093033
890,3,7.619261025150275,17.491581967213115,16.308804680219453
895,1,4.157615107687649,2.628431693989071,3.7950216931203102
896,1,2.0983676749501017,3.0020928961748634,1.992135342293306
901,1,0.5575128322530812,1.6784071038251367,2.073670710463479
903,1,2.1774334570318805,7.215344262295082,7.902152507265608
