household_id,cluster,mae
22,0,8.991978530623118
42,2,27.71522333656856
56,0,8.067153199473642
58,0,8.653669434811807
64,0,1.0850425649697646
88,2,12.29878712415766
95,0,6.6037736700047525
163,2,7.1648462392645
198,0,10.525183054234
202,0,5.798357571827973
209,0,6.0764460553422905
218,0,7.977656991945122
223,2,9.661608365881245
228,0,4.416216861839119
245,0,1.7514685011657467
246,0,3.448487021761953
322,0,1.0182560774944205
325,0,3.7161684306801472
342,0,1.1560501888341912
344,0,2.5831704792411534
352,0,5.684440991432258
358,0,1.8836725429206087
362,2,15.798068193275315
451,0,4.358890262969256
471,0,0.8196183355423333
474,0,2.6106907650991165
500,2,11.341233268348844
518,0,3.8760029851327005
519,0,4.0778287286323645
545,0,5.524049296430792
559,0,0.004129284540589692
602,0,0.8034145822672629
604,0,8.032322537380244
611,0,3.572590835603355
618,2,12.114195225951036
635,0,2.5132827103782125
654,2,10.76212741658388
664,2,8.394831949688148
675,0,4.41298166915604
720,0,1.5035169865574483
728,0,3.8418148857705634
774,0,7.931962573800625
804,0,1.7943746477711031
810,2,10.648247882261954
823,0,4.686387632635295
827,0,4.068936811790553
841,0,5.753138811469301
860,0,3.6421587899409404
871,2,20.47491694468356
873,0,7.74122570949239
885,0,4.056222995169835
890,2,15.98134424798756
895,0,6.585632606127114
896,0,2.118288970568581
901,0,0.5389432729872797
903,0,4.211698907857242
965,0,2.8572870710123284
989,0,5.456481619050313
992,0,1.2784065756669512
1001,2,18.383650957057753
1013,0,1.2887779145172347
1019,0,5.582630942155556
1029,0,5.572201262012042
1035,0,1.1992557919399611
1091,0,5.5746121958851385
1099,2,24.541568335842445
1109,0,0.6681480525779128
1118,0,3.8933865430366077
1124,0,5.693806508659186
1154,0,7.4470810319497875
1169,0,1.1802569862707062
1180,2,8.121029648469467
1185,0,1.839285430453866
1195,2,4.530082840476596
1199,0,1.2217188077918433
1216,0,3.498775935000908
1224,0,7.552244620914732
1236,2,8.963556950502465
1248,2,8.826670296624647
1258,2,10.448459570639656
1271,2,14.809918839575403
1383,0,2.9942946113989746
1410,0,1.8401413867902523
1420,0,3.7204393702951717
1423,0,4.526484492794164
1432,2,7.083800968749024
1441,0,3.442813629677512
1451,0,4.8314910186064886
1467,0,5.649568318246672
1501,0,4.919524617880452
1507,0,4.0453786266280325
1518,0,3.7657861146070903
1526,0,3.984865163179855
1530,0,3.9972056257100355
1531,0,1.1106106330977372
1548,0,5.79249544718178
1563,2,12.073302660414717
1566,2,18.812456702322407
1567,0,1.7973008960174692
1577,0,1.2257932505656244
1580,2,4.886536854603454
1596,2,15.754089001629282
1640,0,1.3490070857890364
1645,0,2.5855569927671525
1648,0,4.163545338965339
1653,0,5.592587780643769
1685,0,2.9342111746437247
1687,2,25.481043856159285
1691,2,16.57646654378197
1708,0,7.110131363076517
1710,0,5.966566510837643
1732,0,1.7384824848734086
1739,0,2.7073285785412255
1745,0,1.6639854108399068
1768,0,5.3380602777010395
1786,0,2.8966453402540813
1788,0,2.2832984685947917
1803,0,4.614960346999557
1810,0,2.2158224860258384
1812,2,8.058313158116135
1820,2,28.248894794897307
1834,0,4.147580428768493
1841,0,3.7593557528836037
1853,0,4.866160505721514
1858,0,4.198560862772687
1861,0,4.019325958508131
