household_id,mae
22,9.189522874657722
42,31.27254521560027
56,6.021061199377813
58,8.559058499190977
64,0.3209823562298883
88,11.553288594172251
95,6.962210145862236
163,4.005822552146478
198,11.177082245237433
202,2.282080027273649
209,2.1195803900962815
218,4.75735200687689
223,9.24675713799876
228,2.1301856146138287
245,2.6568990103563532
246,1.23000094666757
322,1.3979643365282823
325,1.3597756617306986
342,1.0901989966689491
344,2.838230630323661
352,3.1132295822867104
358,1.1653127555244118
362,15.304538490131465
451,1.6549882885169631
471,0.7959032846594435
474,2.339979732794077
500,8.046523538068806
518,3.1719612886161106
519,2.226611243367245
545,3.3550915510182837
559,0.10489754110834583
602,0.388812219673053
604,7.782655071444856
611,1.6407484001130592
618,11.733169970440708
635,2.3499046562992216
654,12.149648742805054
664,6.399719584223993
675,1.8600368339567572
720,0.925379244398109
728,1.124729160349045
774,7.656895833969392
804,1.069781546370881
810,13.374949686434562
823,4.905742989286534
827,2.404151925099784
841,1.9008234561375885
860,1.932527267685727
871,24.701129530777095
873,2.4122958469964186
885,1.2565740300261528
890,18.034183528824517
895,4.283240025901754
896,1.9562432452467244
901,0.49990446600567684
903,2.5555777222292884
965,2.1754648126951475
989,2.375593013370932
992,0.7585454783818636
1001,19.543473903853247
1013,3.0677402579525035
1019,3.0380257663741648
1029,3.8463132377396625
1035,1.3305943564821199
1091,3.2679583886313814
1099,23.022209277129765
1109,0.7822220033723919
1118,0.6089456816659731
1124,5.6824842021220165
1154,7.077062695448139
1169,0.233492501131044
1180,3.830183617681452
1185,0.7725613289058012
1195,5.605982348523047
1199,0.5649320797443309
1216,1.8577306864697152
1224,3.874356728198948
1236,8.872000984560525
1248,4.633438775922187
1258,8.4470180357207
1271,18.394552848262524
1383,2.313994210574575
1410,1.7020847623199826
1420,2.7319900005482256
1423,3.0110757021592494
1432,6.789137542501154
1441,3.7666568639386795
1451,1.7875935565024956
1467,4.408721436964528
1501,1.389112205377367
1507,1.5134240249808795
1518,1.4161971781628437
1526,2.211952461309657
1530,3.597860365118803
1531,0.7766254537736819
1548,2.5124229953090658
1563,10.728004361753674
1566,20.173742930169364
1567,0.6532647720147032
1577,1.233539441638827
1580,5.2694549336341705
1596,14.045506975241382
1640,1.361868625085962
1645,2.378453492625894
1648,4.461053643489618
1653,2.135619965063371
1685,2.184728791885712
1687,27.075440105722272
1691,16.192556613000754
1708,8.375451428249812
1710,5.886363027532447
1732,0.40234176352830153
1739,2.6152533862157616
1745,0.7071798468414825
1768,1.9768934201743242
1786,1.9602388677665936
1788,1.1372037096590828
1803,3.4033017710654905
1810,2.0358488781521693
1812,7.499235128823944
1820,36.39318352135343
1834,1.51017350897388
1841,3.3930144944362355
1853,1.867540393161463
1858,1.8447531159483481
1861,2.969315529357588
1892,1.864328042789411
1893,4.180844004348254
1906,14.344831443377265
1907,3.6021063240518965
1910,10.439796348173184
1923,2.7690852912557276
1957,19.871738151654323
1959,2.653475668884523
1979,2.2187761803461306
1981,2.5782677504397222
1998,21.297724862371943
2002,3.5165288699709554
2064,2.208307369182775
2102,0.7478217269178947
2111,0.8181678132696024
2115,2.135805071265351
2194,0.9952217010197735
2219,0.8111955555625373
2220,16.128439245527815
2233,26.40000318989536
2246,4.886263922857698
2252,23.425847722470575
2313,20.83630705344965
2319,2.560882034990549
2341,1.489642108954509
2346,1.6331206992531553
2374,0.8140572748899415
2433,2.5754938561795164
2453,2.0500293999212613
2466,1.7063677153874688
2467,41.429264297046394
2495,16.74462054726732
2497,1.0258314198575054
2506,10.621615346063098
2516,5.816693886683986
2537,2.2931624501439676
2550,1.0132349829473204
2551,7.0984938403866815
2586,6.336657496087193
2596,1.2229417747537557
2599,11.34286969234046
2609,3.685336684480354
2614,1.38750833749024
2615,1.3581894677890796
2621,2.7361399584392516
2641,8.32266320377269
2678,1.4431869691949617
2693,2.2982118668067892
2699,0.7021800787352707
2748,1.7012157554946155
2751,12.251674591445482
2752,0.7883627158675417
2764,1.5997011478153425
2792,1.337922779649386
2846,0.7332996317493816
2850,2.872699434722167
2865,2.5953020312744113
2868,1.9633422023132385
2874,1.1199700012222846
2935,10.578726325910539
2938,0.20346651990160858
2944,10.590228994894632
2947,22.67664436131031
2960,8.611118559512912
2989,3.0982792756632898
3007,2.540293391228887
3036,16.717475032946535
3052,3.8166525920848615
3062,13.748010485351108
3073,3.829875499388092
3074,4.469665147910455
3080,1.8822483829871912
3085,1.0421328893619253
3124,3.6758350234961137
3134,27.15059734241502
3135,22.484980015131942
3137,2.025467266085729
3150,3.3344615331191045
3205,6.4714291949979685
3219,2.82991698971549
3220,0.2146279144578643
3230,4.5208277625656885
3258,2.166430194946256
3267,17.12402215030672
3289,1.3064947633838828
3294,7.691527240486809
3310,1.009249952244469
3313,0.8958475961654693
3366,0.9214336613012069
3367,1.2925558072580774
3377,1.656461092572476
3386,1.3064642886302065
3387,2.316408958226178
3405,6.492658190907624
3410,3.7594319670307903
