,mean_consumption,std_consumption,max_consumption,min_consumption,range_consumption,cv,skewness,zero_days,zero_percentage,p90,p10,mean_consumption_log,max_consumption_log
count,17547.0,17547.0,17547.0,17547.0,17547.0,17547.0,17393.0,17547.0,17547.0,17547.0,17547.0,17547.0,17547.0
mean,9.131,4.5122,27.1532,2.6247,24.5284,0.5503,1.1561,9.6065,2.6319,15.076,4.485,2.0436,2.9755
std,9.4055,5.7367,31.5805,3.6622,30.2787,0.7606,1.4804,49.609,13.5915,16.4198,5.465,0.7341,0.8497
min,0.0,0.0,0.0,0.0,0.0,0.0,-9.0216,0.0,0.0,0.0,0.0,0.0,0.0
25%,3.8692,1.5711,10.61,0.806,9.1135,0.307,0.4732,0.0,0.0,6.0492,1.6026,1.5829,2.4519
50%,6.7763,2.6188,17.981,1.737,15.518,0.4074,0.8482,0.0,0.0,10.3106,3.2465,2.0511,2.9434
75%,11.3561,4.901,32.0205,3.3385,28.2945,0.583,1.3928,0.0,0.0,17.9135,5.8462,2.5142,3.4971
max,188.0152,91.9826,1051.7396,88.363,1051.7396,19.0865,19.0264,365.0,100.0,261.5598,129.7118,5.2418,6.9592
