household_id,cluster,mae_global,mae_cluster,improvement
22,1,9.164920325555189,9.163896102454446,0.0010242231007424607
42,3,30.494062428548492,32.37391277621118,-1.8798503476626856
56,1,5.565936557788881,5.816618891867237,-0.2506823340783564
58,1,8.56547025888085,8.423220665206921,0.1422495936739292
64,1,0.29730599823313925,0.2831893812399618,0.014116616993177455
88,3,11.391324433975992,11.545461535617735,-0.15413710164174255
95,1,6.131108552551453,6.290956265559462,-0.15984771300800915
163,1,3.8547437120417096,3.716503790787727,0.13823992125398243
198,1,11.490135072004467,11.203651321149678,0.2864837508547886
202,1,2.244253845588289,2.407045021642397,-0.16279117605410764
209,1,2.1222060875264637,1.9637261220955424,0.15847996543092124
218,1,5.14664972689125,4.8084634220506315,0.33818630484061885
223,3,9.301367697679538,9.815611647008529,-0.514243949328991
228,1,2.1369512791592826,2.1453011093447203,-0.008349830185437668
245,1,2.7213298928269603,2.9104235731418835,-0.18909368031492324
246,1,1.2277295411546973,1.236582129829118,-0.008852588674420625
322,1,1.3977832509811032,1.3853199096348165,0.012463341346286683
325,1,1.315606832526132,1.3974902877587472,-0.08188345523261509
342,1,1.0860434009796958,1.086818989607957,-0.0007755886282612146
344,1,2.9583486855606993,2.851251308544495,0.10709737701620448
352,1,3.0203285890541665,3.189357559052006,-0.16902896999783934
358,1,1.1658034604462149,1.1591465587320666,0.006656901714148233
362,3,16.402495402387128,16.394945884177684,0.0075495182094442725
451,1,1.431482129360489,1.4451387840047125,-0.01365665464422361
471,1,0.7262894466722323,0.7699211834589933,-0.04363173678676102
474,1,2.1853284018459544,2.635310219157228,-0.4499818173112735
500,3,8.18388111051302,8.87542538465375,-0.69154427414073
518,1,3.1551632809985146,3.1349134679726736,0.020249813025841057
519,1,2.1415713632026017,2.177513798048345,-0.03594243484574333
545,1,3.210807148603417,3.664427481087857,-0.4536203324844399
559,1,0.09507623648625807,0.11657808095570142,-0.02150184446944335
602,1,0.3996647333100609,0.3915139034783124,0.00815082983174853
604,1,7.74367155449118,7.82586854460041,-0.08219699010922987
611,1,1.699602575860704,1.6262186696632412,0.07338390619746282
618,3,11.726133057756172,11.814972753834732,-0.08883969607856024
635,1,2.3976152639855064,2.397565552890675,4.971109483120628e-05
654,3,12.826083621600631,13.003127402949564,-0.1770437813489334
664,1,6.317322949248885,4.6682511095563175,1.6490718396925672
675,1,1.889749480279229,1.8964994447884864,-0.006749964509257467
720,1,0.9102473919437579,0.8598078572151775,0.050439534728580426
728,1,1.1011232657299705,1.1574323334499361,-0.05630906771996558
774,1,7.944907989420639,7.714591280465729,0.23031670895491008
804,1,1.1335764909320518,0.912343922448984,0.22123256848306783
810,3,13.768644396719209,12.929632568216888,0.8390118285023203
823,1,4.666408295767611,4.152209838948527,0.5141984568190843
827,1,2.560819603623419,2.5416455583428124,0.019174045280606844
841,1,1.9128291606475296,1.6993861315275796,0.21344302911995006
