household_id,global_mae,cluster_mae,cluster_id,improvement
22,9.175040642517848,9.210592516323045,2,-0.035551873805196976
42,20.319819121371925,20.422967402221303,0,-0.10314828084937844
56,5.927123778633711,5.973918809418135,2,-0.046795030784423375
58,7.966815490105972,7.924195973629033,2,0.04261951647693962
64,0.8298042814495168,0.7893237653178421,2,0.04048051613167469
88,11.342375284432531,11.24788883271982,0,0.09448645171271153
95,5.825703744069275,5.8227771616852655,2,0.0029265823840098903
163,3.4120416520339925,3.456410522366308,2,-0.04436887033231551
198,13.960811449204025,11.317845625515261,2,2.6429658236887636
202,2.4830557408365914,2.449739049293143,2,0.03331669154344841
209,2.2475322703774907,2.2561847834272717,2,-0.008652513049780985
218,4.855751114218063,4.847130508462665,2,0.008620605755398358
223,8.39737553757453,8.473917956029997,0,-0.0765424184554675
228,2.4666980092224553,2.4852824546066037,2,-0.018584445384148385
245,1.6124074571120635,1.6185320049601284,2,-0.006124547848064932
246,1.1900975561913414,1.1816264940371861,2,0.008471062154155273
322,1.0965736483205037,1.0880761837670931,2,0.008497464553410605
325,1.6631587940069579,1.7242069108332085,2,-0.061048116826250665
342,1.1328042786464099,1.122671231554838,2,0.010133047091571923
344,2.8341254089046832,2.8655006622438486,2,-0.031375253339165354
352,4.435624326171633,4.486247569533962,2,-0.05062324336232926
358,1.267936683274663,1.2475139041109093,2,0.02042277916375368
362,12.98273832816561,13.052669344699622,0,-0.0699310165340119
451,1.3338524426973801,1.369088433003344,2,-0.035235990305963805
471,0.7763526472123238,0.7656545738990351,2,0.010698073313288647
474,2.094912654748347,2.0727746305008776,2,0.022138024247469357
500,7.49178487090998,7.4898205410771945,0,0.001964329832785161
518,3.209979909329861,3.2014837425393665,2,0.008496166790494364
519,3.4352576873908753,3.3898373527710057,2,0.04542033461986961
545,3.1555784892883465,3.156036837071052,2,-0.0004583477827053706
559,1.5144226435551282,1.508047053255739,2,0.006375590299389167
602,0.6939757962420272,0.6895423162061508,2,0.004433480035876403
604,7.712684929089965,7.655094955902813,2,0.05758997318715231
611,1.8486339777572742,1.8716143146578006,2,-0.022980336900526366
618,9.161800619210991,9.303491756071596,0,-0.14169113686060442
635,2.263127341136287,2.255982251728039,2,0.007145089408248317
654,9.43930814863121,9.739528676632608,0,-0.30022052800139853
664,4.389054727235167,4.457521303861165,2,-0.06846657662599842
675,2.0032184426307404,2.024437521896692,2,-0.021219079265951457
720,0.8430194385925118,0.8246454870157246,2,0.01837395157678723
728,1.3116751280157413,1.3048744426965015,2,0.006800685319239719
774,5.425284023682555,5.364957775946301,2,0.06032624773625361
804,1.5108938925923008,1.470494830548105,2,0.040399062044195855
810,7.162378793441174,7.466412163527592,0,-0.30403337008641884
823,4.009742271744761,4.0916444382437165,2,-0.08190216649895543
827,3.2103335288941217,3.209970385659297,2,0.0003631432348245589
841,3.6344869070447903,3.6474560128474893,2,-0.012969105802699055
860,1.7799086811209008,1.7770051484818319,2,0.002903532639068951
871,16.51215096256191,16.147623579741598,0,0.36452738282031305
873,3.7528240276177582,3.7611931525859386,2,-0.00836912496818032
885,1.169132356495797,1.2039826829550415,2,-0.034850326459244574
890,13.078259593739682,13.133658880576665,0,-0.05539928683698214
895,4.585608738987632,4.581254622112137,2,0.004354116875494363
896,4.820943077942552,4.958324369995605,2,-0.13738129205305327
901,0.7925080905261807,0.746884395707123,2,0.0456236948190577
903,2.2794220849625773,2.32033059884745,2,-0.04090851388487282
965,2.372679044108253,2.42241280962649,2,-0.04973376551823705
989,2.6447795715673537,2.679329220457105,2,-0.03454964888975143
992,0.9851580693158415,0.9571598632452202,2,0.027998206070621312
1001,15.423636224240822,15.487842209599476,0,-0.06420598535865452
1013,1.401654666869989,1.4199006347241905,2,-0.018245967854201517
1019,3.9449936583794525,4.032582551843665,2,-0.08758889346421217
1029,3.273729801572096,3.2766221785703613,2,-0.002892376998265167
1035,1.3297380115221797,1.321696909132769,2,0.008041102389410693
1091,2.9644813888912815,2.9590051287577155,2,0.005476260133566058
1099,20.75027502164643,20.806148799890664,0,-0.05587377824423356
1109,0.4840213031050158,0.47905623391196095,2,0.0049650691930548385
1118,0.990171406019001,0.9977529623043426,2,-0.0075815562853416285
1124,5.362082711008986,5.298354503442106,2,0.06372820756688036
1154,6.040108796374717,6.112978418172944,2,-0.07286962179822698
1169,0.9784017713221084,0.9781478462645766,2,0.0002539250575317453
1180,3.5655982074801957,3.5893682984236093,0,-0.023770090943413535
1185,0.886342734282184,0.8359741899892116,2,0.05036854429297244
1195,5.004203968151808,4.937385359616634,0,0.06681860853517385
1199,0.9622770367353685,0.9214385248553318,2,0.04083851188003662
1216,2.8543554601971106,2.8065868275229033,2,0.04776863267420728
1224,4.942090171759156,4.992893341073322,2,-0.050803169314166396
1236,7.530979042660457,7.575176037846029,0,-0.04419699518557252
1248,4.518714096206977,4.594564861668927,0,-0.07585076546195069
1258,7.841578953208046,8.04046605774016,0,-0.19888710453211367
1271,12.67547230962034,12.735443023801114,0,-0.05997071418077482
1383,2.4876092859227112,2.48264721913607,2,0.004962066786641461
1410,1.6743119429241142,1.6581528262824186,2,0.01615911664169567
1420,3.2609489544702366,3.2883411198227552,2,-0.02739216535251865
1423,3.4500505742061853,3.522359637835164,2,-0.07230906362897871
1432,7.106788091957786,6.9526942950896675,0,0.15409379686811864
1441,1.9493423245209838,1.944828033671351,2,0.004514290849632729
1451,2.1345841381939112,2.1430795227614334,2,-0.00849538456752219
1467,2.750696483093966,2.775753083393592,2,-0.025056600299625753
1501,1.9022319094371236,1.9688165334375176,2,-0.066584624000394
1507,1.4174742380659116,1.4145982143455262,2,0.0028760237203853123
1518,1.4071559250189694,1.3983159611310325,2,0.008839963887936841
1526,2.130474226587314,2.12858626232474,2,0.0018879642625737603
1530,3.065557033834574,3.086072082922808,2,-0.020515049088233983
1531,0.8862072061196994,0.8777743026093152,2,0.008432903510384171
1548,2.3842727250847995,2.4435270072576007,2,-0.059254282172801265
1563,10.88077725768629,10.90815454237786,2,-0.027377284691569415
1566,16.561823378493354,16.2116844332719,0,0.35013894522145605
1567,0.7920255214842659,0.7361385925907356,2,0.05588692889353031
1577,2.0975362108139834,2.0745466493108045,2,0.02298956150317899
1580,6.644602208387172,6.318907382358089,0,0.32569482602908373
1596,14.153892783864642,14.213614248576766,0,-0.05972146471212447
1640,2.4800315440815828,2.4659146209815206,2,0.014116923100062184
1645,2.6856841645071503,2.642296145620329,2,0.0433880188868212
1648,4.160227576060467,4.159403555416745,2,0.000824020643722001
1653,2.3625700916387746,2.4032208495328238,2,-0.04065075789404915
1685,2.4195600076842583,2.4903562007951674,2,-0.07079619311090912
1687,20.979301080661273,22.075349271965898,1,-1.0960481913046252
1691,16.1886244076821,16.245487630924654,0,-0.056863223242554994
1708,7.427151204732375,7.411050570769735,2,0.016100633962640387
1710,5.653248249708219,5.667918994480714,2,-0.01467074477249497
1732,1.5356027777270473,1.5306681114243794,2,0.004934666302667923
1739,2.7892622490940657,2.7730672639794003,2,0.01619498511466544
1745,0.7091864703285556,0.6596631728905215,2,0.049523297438034186
1768,2.417772873612719,2.4621735747185394,2,-0.044400701105820506
1786,2.4069732359028295,2.3716507565622003,2,0.035322479340629265
1788,2.153446882527883,2.1420036867841583,2,0.011443195743724655
1803,3.729646763896737,3.7465058414329384,2,-0.016859077536201195
1810,1.86393654676838,1.8230545734629056,2,0.040881973305474384
1812,8.313936454168761,8.331230692348012,0,-0.017294238179250243
1820,23.173980811026375,24.35513981449362,1,-1.1811590034672435
1834,1.839427012186236,1.8455367273040475,2,-0.006109715117811554
1841,2.289258148092625,2.3163963236118286,2,-0.0271381755192035
1853,1.9867417478276452,2.022617251044735,2,-0.03587550321708988
1858,1.8530231322767845,1.8551323639848007,2,-0.002109231708016246
1861,3.3215987135799616,3.36457197497002,2,-0.042973261390058415
1892,1.9048636498480513,1.9301293019821746,2,-0.02526565213412324
1893,3.3072973766658196,3.3797816556082454,2,-0.07248427894242582
1906,12.815239196544914,12.881227595929031,0,-0.06598839938411771
1907,3.4730278137255004,3.553455497285942,2,-0.08042768356044139
1910,9.282065597225808,9.360178332597092,2,-0.07811273537128471
1923,2.597839350039704,2.5880518648567783,2,0.009787485182925604
1957,15.087711514828305,15.391691877405545,0,-0.30398036257724037
1959,2.718579528470244,2.7286197776081482,2,-0.010040249137904134
1979,2.704223823376834,2.667280206703862,2,0.03694361667297219
1981,2.900737092787006,2.877358202858496,2,0.023378889928510116
1998,12.568452263393882,12.629014604251724,0,-0.0605623408578424
2002,3.3231041169271758,3.2981409655463403,2,0.02496315138083549
2064,3.2016601767470814,3.2459014442438,2,-0.04424126749671853
2102,0.9438580897614913,0.9078684267101206,2,0.035989663051370746
2111,1.5053579402813029,1.5126445674522269,2,-0.007286627170923987
2115,2.6276261583732086,2.7065318412977555,2,-0.07890568292454692
2194,0.9994954797340402,1.004507844434065,2,-0.005012364700024752
2219,1.9472465991096517,1.9501393465429253,2,-0.0028927474332736125
2220,15.697406771670634,15.745588429058676,0,-0.048181657388042254
2233,16.73768457354634,16.303931610547885,0,0.43375296299845445
2246,3.026783472958411,3.0808009181167084,2,-0.05401744515829732
2252,19.653157927177425,19.036414545426563,0,0.6167433817508616
2313,14.08450342881383,14.177162686776457,0,-0.09265925796262664
2319,2.904876332497504,2.9063725767537414,2,-0.0014962442562374
2341,1.4896303964464384,1.5002328087248944,2,-0.010602412278456042
2346,1.81853991742356,1.7863947617663536,2,0.032145155657206326
2374,0.9227291136548664,0.9574157441732267,2,-0.034686630518360295
2433,2.752937669800877,2.692339458623006,2,0.06059821117787134
2453,2.005208856560218,2.012455226451414,2,-0.007246369891196203
2466,1.8327639342256359,1.8464546464904865,2,-0.013690712264850635
2467,24.888973094054126,24.358373712648792,0,0.5305993814053345
2495,12.537706915742746,12.614180166492133,0,-0.07647325074938749
2497,1.1119287223969418,1.1339889214612862,2,-0.02206019906434431
2506,11.82852412340476,11.653520007333125,0,0.17500411607163535
2516,7.23466768815838,7.307432141473293,2,-0.07276445331491299
2537,2.1397923198147577,2.153309883849316,2,-0.013517564034558394
2550,1.144322135515515,1.1043858213714,2,0.03993631414411514
2551,7.991537013597509,7.822002733168122,0,0.1695342804293869
2586,5.4108381681048545,5.447809686069611,2,-0.03697151796475673
2596,1.2048882471488336,1.2116896765219274,2,-0.006801429373093804
2599,10.046331015623974,10.251949493983341,0,-0.20561847835936753
2609,2.2360568964177596,2.2233830595197803,2,0.012673836897979296
2614,1.4558533602048487,1.4190990892386943,2,0.036754270966154357
2615,0.719998020774409,0.7171024185518021,2,0.0028956022226068745
2621,3.011135967158795,3.100133847320836,2,-0.08899788016204102
2641,6.8078394274438265,6.873666288080057,0,-0.06582686063623022
2678,1.9613256764514473,1.9639186343202024,2,-0.0025929578687551302
2693,2.3009862776120795,2.2775054990937513,2,0.023480778518328194
2699,0.5930083700203744,0.5868283874594522,2,0.006179982560922226
2748,2.1860452177929477,2.1466284777898768,2,0.03941674000307094
2751,13.003995744960314,13.04831545739038,0,-0.044319712430066716
2752,1.503330961040543,1.5038162692288686,2,-0.00048530818832559497
2764,2.896798264732415,2.9792168415448397,2,-0.0824185768124246
2792,1.3423421560237327,1.3931913880851674,2,-0.05084923206143466
2846,1.5605391680905685,1.5478780426109144,2,0.012661125479654034
2850,2.960035593137671,3.003583267929728,2,-0.04354767479205712
2865,2.3772340597826536,2.385562546469736,2,-0.008328486687082304
2868,1.8030895529994062,1.7941406637081962,2,0.00894888929120996
2874,1.0124443132697214,0.9907894883862497,2,0.0216548248834717
2935,10.455933378920273,10.431260520110817,0,0.024672858809456244
2938,1.4470287833244753,1.4407907144995793,2,0.00623806882489597
2944,5.188949084697615,5.2103325516469,2,-0.021383466949284724
2947,15.674790996038997,15.337254404118788,0,0.3375365919202089
2960,7.089688942768045,7.101738461859055,2,-0.012049519091010374
2989,3.2077957418399485,3.203031664061485,2,0.004764077778463438
3007,2.967664496722943,3.028343082256181,2,-0.06067858553323813
3036,14.269772684798072,14.396345922281053,0,-0.12657323748298133
3052,4.2990590042541905,4.1566332560338735,0,0.14242574822031706
3062,9.900467633962746,10.016821995101248,0,-0.11635436113850162
3073,3.1179018858894096,3.150648641193349,2,-0.032746755303939334
3074,3.95362886293697,4.0417145004083395,2,-0.08808563747136944
3080,1.6646190548469926,1.6745179549075924,2,-0.009898900060599791
3085,1.5209616125543792,1.5638809424601787,2,-0.0429193299057995
3124,3.6126632152486593,3.671495096602986,0,-0.05883188135432649
3134,15.502642557559208,15.582735859475859,0,-0.08009330191665143
3135,13.040745464303297,12.807849461399343,0,0.23289600290395462
3137,2.092208429286696,2.114295033582142,2,-0.0220866042954464
3150,2.916718004036052,2.9077195956570807,2,0.008998408378971146
3205,5.626749713126451,5.678219808041507,0,-0.051470094915056386
3219,4.405985175763863,4.368272526361907,2,0.03771264940195618
3220,1.086062836119211,1.0840762037161864,2,0.0019866324030246574
3230,3.9964179396632726,3.9707290652850147,2,0.025688874378257953
3258,1.5251151666159994,1.4649602968594182,2,0.06015486975658124
3267,14.343780677074658,14.43068680519273,0,-0.08690612811807163
3289,1.3039747421454615,1.3321104668452866,2,-0.02813572469982506
3294,5.7939311361909995,5.7926064325485935,2,0.001324703642406
3310,1.1204002079119926,1.1601916487626802,2,-0.03979144085068764
3313,1.2334499828433207,1.2138489911205006,2,0.01960099172282015
3366,1.0154933842148943,0.959582625645472,2,0.05591075856942229
3367,1.868431475959389,1.8783897004661874,2,-0.009958224506798397
3377,2.04754957015013,2.052539478274814,2,-0.004989908124684028
3386,1.500511815762965,1.483709972447087,2,0.016801843315878084
3387,2.3149339974871066,2.32294780879,2,-0.008013811302893359
3405,4.498266402574549,4.520543918994699,0,-0.02227751642015008
3410,4.779274123217815,4.733722335052433,2,0.045551788165381524
3427,12.057875556543449,12.156581300846575,0,-0.09870574430312651
3433,1.7217864071024411,1.7273821655676664,2,-0.005595758465225309
3447,1.6027569968401258,1.6276761404923046,2,-0.024919143652178732
3454,0.8501534124141193,0.8343357139592285,2,0.015817698454890894
3456,3.8462229933256995,3.833760505772834,2,0.012462487552865387
3467,2.813100310217089,2.896248313450159,2,-0.08314800323307026
3487,1.2195352334089016,1.2018878409169524,2,0.017647392491949132
3506,4.097374091122627,4.14086100904659,2,-0.0434869179239632
3546,15.179346201732347,15.12314038557053,0,0.05620581616181752
3614,2.9065711783128765,2.9927788162927995,2,-0.08620763797992304
3657,0.7369339623789317,0.7378651888690687,2,-0.0009312264901369938
3658,0.9579311758830601,0.9849791297086177,2,-0.02704795382555758
3660,15.701937817875486,15.780395848318356,0,-0.07845803044287081
3691,3.2779012573178643,3.368125102675448,2,-0.09022384535758388
3719,1.7495697561754284,1.734318727036704,2,0.015251029138724448
3732,1.3610677569216785,1.3528811511295789,2,0.008186605792099622
3747,4.819122328407908,4.898684948027381,0,-0.0795626196194732
3770,29.744637735350008,30.63175826691079,1,-0.8871205315607824
3787,2.625175785024434,2.7082932289580373,2,-0.08311744393360332
3793,2.012823515309204,2.034376822689744,2,-0.021553307380540065
3823,2.527295765042581,2.492489036867156,2,0.03480672817542496
3863,0.8673169006180415,0.868530160650978,2,-0.0012132600329365362
3884,2.070048831489885,2.0783533090717756,2,-0.00830447758189079
3895,3.4132553162119414,3.467104211940015,2,-0.05384889572807339
3901,8.908722229359894,9.163021088535565,0,-0.2542988591756714
3908,1.479104275500709,1.524495203564216,2,-0.045390928063506975
3914,2.7756776737635396,2.7852993902979333,2,-0.009621716534393698
3961,1.3157264481912259,1.2948386182174982,2,0.020887829973727623
3966,1.482709304218291,1.5490139800067892,2,-0.06630467578849819
3969,2.167813945401119,2.2014807729565624,2,-0.03366682755544348
3976,10.61042822570245,10.737126842848634,2,-0.12669861714618413
3979,1.6968515021465478,1.726842805359794,2,-0.029991303213246168
4064,2.144099700076794,2.168573659212533,2,-0.0244739591357388
4069,1.1820177345327352,1.1876596149651497,2,-0.005641880432414537
4107,7.811641450950191,7.8746358450577905,0,-0.06299439410759966
4141,1.3525698999269353,1.3115008487294557,2,0.04106905119747961
4158,1.3335953179882982,1.395929326859595,2,-0.0623340088712967
4161,2.934387863335525,2.9047975564946373,2,0.029590306840887592
4167,1.6523119177720604,1.6470006209460384,2,0.0053112968260220494
4172,3.3648266321393567,3.405514258087296,2,-0.0406876259479394
4178,10.784224866528506,11.05395639421447,0,-0.2697315276859644
4189,13.649249094498854,13.712180518308372,0,-0.062931423809518
4190,9.12409844237502,9.173901652770752,0,-0.04980321039573177
4202,1.74339186941159,1.7826743965513625,2,-0.03928252713977254
4205,3.6267675333843825,3.6891570549347112,2,-0.06238952155032873
4213,3.417820440008572,3.5045848627429197,2,-0.08676442273434759
4268,1.2622855482020916,1.2654991609068793,2,-0.003213612704787705
4294,2.696154305926451,2.7327300095029003,2,-0.03657570357644957
4295,2.8569756091191585,2.898938921664448,2,-0.04196331254528962
4352,10.618857573484826,10.686361861244752,0,-0.06750428775992567
4355,2.136084512357875,2.183159162657897,2,-0.04707465030002167
4370,1.3502521708161221,1.3408870764087357,2,0.00936509440738642
4376,0.5595458111713789,0.547771387671068,2,0.011774423500310882
4383,3.7087608570994277,3.652251496294941,2,0.056509360804486874
4394,2.3133640666243345,2.3585574441161463,2,-0.04519337749181185
4400,4.664467102508435,4.611174260429147,2,0.05329284207928797
4405,4.681820626132209,4.965049511429779,0,-0.28322888529756973
4438,1.7648253121498454,1.7580062881653902,2,0.006819023984455219
4445,1.1796435275220174,1.172356043342519,2,0.007287484179498316
4448,3.2120917084403167,3.2089035418625214,2,0.003188166577795304
4477,5.308954346340722,5.390710372827005,2,-0.08175602648628288
4488,1.0296369245371675,1.0093232769257576,2,0.020313647611409857
4529,1.996893939427357,1.9778388059340235,2,0.019055133493333543
4533,3.5189357029435917,3.493644536636304,2,0.02529116630728767
4563,2.162309389434344,2.1599780840952323,2,0.0023313053391116334
4564,5.71176647119468,5.687543029558642,2,0.02422344163603718
4573,3.8144803528498463,3.8116853996952385,2,0.002794953154607871
4578,5.776779077673406,5.8520433228309425,2,-0.07526424515753671
4671,4.48815546530932,4.647568190613542,0,-0.15941272530422257
4672,1.8432933720849138,1.8991528678395497,2,-0.05585949575463589
4702,0.8881576011506025,0.8697482784926474,2,0.01840932265795514
4735,5.703806115006123,5.632884785137444,2,0.07092132986867927
4744,2.149049570790157,2.152777994666344,2,-0.0037284238761867705
4754,2.1341290131836526,2.1375405783801487,2,-0.0034115651964961025
4756,1.247718787664055,1.2491533922136706,2,-0.0014346045496156368
4758,3.236432426114401,3.2452198519638027,2,-0.008787425849401842
4780,35.35733008425962,36.68461080002133,1,-1.3272807157617095
4785,4.359703102939373,4.313037589771347,2,0.04666551316802625
4814,1.9740441096209198,1.9517190922842083,2,0.02232501733671155
4816,1.5086795182560837,1.4927566726928927,2,0.015922845563191013
4825,1.127215622041915,1.0991745176911107,2,0.028041104350804202
4847,4.54271178024347,4.670123319157701,0,-0.12741153891423096
4855,4.910651975198494,4.840324664453983,0,0.07032731074451082
4858,8.261967164875934,8.331634374253529,0,-0.06966720937759519
4918,10.161373488869154,9.94109096779456,0,0.22028252107459423
4953,6.634332082234706,6.135667261476861,2,0.4986648207578446
4969,1.4112282228366047,1.3861137484315822,2,0.025114474405022458
4989,2.162014325486007,2.185144450530849,2,-0.023130125044841687
5011,6.998092726574763,6.992467679202249,2,0.005625047372514125
5027,4.495142277432404,4.591129255463998,2,-0.09598697803159428
5029,1.805879184058998,1.8706453669302519,2,-0.0647661828712538
5033,1.8556270412385,1.7927361948992335,0,0.06289084633926656
5036,4.187170788590692,4.269175379124799,2,-0.08200459053410647
5061,2.2113626987919286,2.2049102494945307,2,0.006452449297397855
5062,3.68321392855716,3.739745872683118,0,-0.05653194412595797
5119,1.9173588948884208,1.9285134561781343,2,-0.011154561289713483
5168,0.9794033852014687,1.0325127139477441,2,-0.053109328746275386
5173,2.2625685843868193,2.3126128294114427,2,-0.05004424502462346
5202,7.3514061536341595,7.642720649412973,0,-0.2913144957788134
5205,1.999681011290523,2.049172289544776,2,-0.049491278254253146
5228,2.987259110988718,3.060457585722285,2,-0.07319847473356678
5238,5.12488827668074,5.225903264241741,0,-0.10101498756100113
5243,3.9363766542012013,3.962793360319797,2,-0.026416706118595812
5259,5.2765404711039405,5.303110006060507,2,-0.026569534956566443
