household_id,mean,cv,skewness,kurtosis,weekend_ratio,summer_peak,winter_peak,trend_slope,seasonal_strength_weekly,n_peaks,peak_height_ratio,zero_percentage,avg_zero_run,cluster
22,11.857920547945204,0.3355233373647426,0.42991810941086966,0.6576543164276232,0.91295739572752,12.519195652173916,11.606021978021975,-0.00950527931534,0.641734766996189,19,2.1879046916447504,0.0,0.0,0
42,14.054819178082193,1.3505294661943643,1.3670745331648182,1.0275412050338932,1.1185921159473493,0.20751086956521742,39.43837362637364,-0.0226953598389036,0.8695584236665893,19,5.780792977166317,18.356164383561644,2.392857142857143,0
56,5.609575342465754,0.9301216060449644,0.4945569234435806,-0.7885568272926644,1.0305384800955013,0.8976304347826087,9.885406593406596,-0.0165714864407993,0.7541467609808488,19,4.187126220088449,3.8356164383561646,2.3333333333333335,0
58,9.3202,0.5685469607738026,1.923010589757476,4.959360644789939,1.026226035713006,6.799402173913045,12.578120879120881,0.016987300572771,0.7044763830762433,19,4.267397695328427,0.0,0.0,0
64,2.438654794520548,0.2114203018273943,0.16806686974054869,2.3902421721267704,1.0103351120381496,2.243869565217391,2.4977472527472524,-0.000220143353166,0.2811400066710727,19,1.8042734092116808,0.0,0.0,0
88,26.068446575342467,1.1526989767760625,1.766796652511218,2.5687438380666743,1.2290170199839403,14.161119565217385,42.47221978021979,-0.0976053770393094,0.3595586424000869,19,5.468680290863368,0.0,0.0,0
95,12.000257534246575,0.5441505953071258,1.0784037269304796,2.04280072261085,0.9077318033639976,9.09688043478261,17.812978021978022,-0.0055775160837366,0.5490459350029336,19,3.103766722814625,0.0,0.0,0
163,14.639000005479453,0.2321503375474473,0.8388690462773796,0.9708261096571831,1.027646766653937,16.807962739130435,13.50221978021978,0.0085922351707577,0.5434605835079724,19,2.020561513008295,0.0,0.0,0
198,11.80793698630137,0.5601257150657825,0.6858936814983695,-0.6850473514025999,1.081322389225833,10.082184782608694,13.015417582417575,0.0502049427105569,0.8150447543717174,19,2.6003695679966365,0.0,0.0,0
202,3.6372438356164385,0.4333123821832189,0.7590891015389196,0.014683434620777813,1.1080140856139868,3.0910543478260863,4.3801978021978005,0.0021000797091971,0.2556627579586678,19,2.446907714256015,0.0,0.0,0
209,3.0507972602739732,0.6231398143241624,1.3835977425937787,2.2528096294786035,1.1469606712299796,2.7987608695652177,2.6878131868131865,-0.0037820983754624,0.3307319337348397,19,3.7380392818944244,0.0,0.0,0
218,9.320528767123289,0.5153888019717311,1.3553254624812776,3.094917711501176,1.2249949484744396,7.007630434782607,13.50754945054945,-0.0075984077902784,0.5626679334320007,19,3.757082980476444,0.0,0.0,0
223,22.646756164383564,0.4097936745623913,0.3909964130600685,-0.11258020734442953,0.9544323201149224,18.469793478260875,30.96948351648352,-0.0170204966154439,0.5155444595650169,19,2.4915709601157308,0.0,0.0,0
228,5.51452602739726,0.4859344381093379,1.030652594821568,1.3673280893716901,0.9925947514556654,5.5112499999999995,5.513417582417583,0.0075737919614631,0.36248756818000266,19,2.8448501144176133,0.0,0.0,0
245,4.511419178082192,0.4231815529853506,0.5780794821303513,0.6724829707154947,1.055361550107848,4.246804347826088,5.168076923076925,-0.0026686441786374,0.47354354455381376,19,2.6058318981118234,0.0,0.0,0
246,3.9949095890410953,0.2248426366096507,-0.6510467112630504,2.5816230207152,0.9491150526433628,4.225413043478261,3.981450549450548,0.0001249487319327,0.38505607986003343,19,1.7507279812254226,0.0,0.0,0
322,2.0953753424657533,0.6391667557678491,0.9261397221043276,2.146070510062036,1.0891231806086827,1.8219673913043477,2.167208791208791,-0.000750995871409,0.33173783155170256,19,4.085664189369414,8.767123287671232,3.2,0
325,6.7743890410958905,0.2679049507758338,0.6396916436068193,0.40300226942471795,1.0353406803058027,6.8179021739130405,6.774835164835167,0.0025022483916263,0.15191970794642878,19,1.999442299199402,0.0,0.0,0
342,3.030802739726027,0.4389712751264451,0.5800327035874937,0.34664544387376406,1.100206005067281,2.543760869565217,3.2694505494505504,0.0019652904696919,0.2858693460349885,19,2.631316085163929,0.0,0.0,0
344,6.112482191780822,0.520445651613311,0.8277727458099824,-0.7861088953406088,1.0235530560349493,10.292750000000007,3.932593406593407,0.0058016277457103,0.9024350474762549,19,2.5778398211429923,0.0,0.0,0
352,8.303339726027398,0.3888082379179892,0.28507523522523,-0.14795195908164205,1.089534555511543,8.27501086956522,10.442439560439562,-0.0108909020465275,0.4673677054651687,19,2.3629046440795074,0.0,0.0,0
358,1.9213753424657536,0.8059983233672271,1.234483344764208,3.1399141393053247,0.9138493932877207,1.9066956521739125,1.7342087912087911,-0.0006558638083228,0.5156734289970365,19,5.365427447804226,16.43835616438356,30.0,0
362,15.910517808219176,0.7814132271492055,0.4625421740469898,-1.0348747734237957,0.9892859136141826,3.233630434782609,29.800098901098902,-0.0237998694545966,0.8864555863263271,19,3.1580367531497653,0.0,0.0,0
451,4.6673835616438355,0.3311463268556271,0.9669773536005755,0.8404387896145034,1.0617149852698953,4.47761956521739,4.900318681318682,0.0009786329996076,0.2897612098047429,19,2.3246428875407594,0.0,0.0,0
471,1.794095890410959,0.5832549062090392,1.9515087465696557,7.329364924290571,0.7309307775745625,1.3113695652173911,2.3488681318681306,-0.001225453885885,0.41521131740151523,19,4.823042093930625,0.0,0.0,0
474,7.310290410958904,0.2880355872990368,0.7503549895317871,-0.10935926017802622,1.0504365148334829,5.824826086956522,9.649219780219779,0.0007166387396569,0.7308101512098151,19,1.889665009654246,0.0,0.0,0
500,15.628972602739726,0.6767176436617052,2.045971263912715,4.416061098062634,0.8863609337798515,10.00651086956522,20.433428571428575,-0.0399381234530123,0.7111685143573901,19,4.241929503950776,0.0,0.0,0
518,7.585161643835616,0.4467266509257532,1.5825470870610905,3.5065782091131092,1.0897000028613266,8.91745652173913,7.62256043956044,-0.004293114902165,0.488880916212655,19,3.0253804833084352,0.0,0.0,0
519,8.034917808219177,0.3014632774609684,0.34560839696142176,0.07872944966811524,0.9353343386511828,6.478956521739135,9.717769230769228,-0.0049988714855771,0.37267483683718894,19,2.0249118146991982,0.0,0.0,0
545,11.231128767123286,0.4035361068407209,0.6702216215008695,0.2760012827075369,1.0702673823290578,9.47853260869565,15.03475824175824,-0.0088715645459414,0.45562129187526434,19,2.386848246141717,0.0,0.0,0
559,0.1324328767123287,0.012736516574009,0.0008742964192087891,-0.38344467908635416,0.9982729594798556,0.13319565217391305,0.1317582417582417,-8.213502195088053e-06,0.7265520831132858,9,1.0344863254582322,0.0,0.0,0
602,1.374652054794521,0.374960737125498,0.9298405809441188,-0.2444207515117669,1.2132152305702866,1.3180543478260867,1.4100549450549447,-0.0005314885877652,0.08805981688673171,19,2.1547270741487754,0.0,0.0,0
604,9.323909589041095,0.4243892701649943,0.8498710044329157,0.1104168125122551,1.049535276279194,6.0983804347826105,13.325736263736268,-0.0035733983510314,0.7196418122249437,19,2.45197572774311,0.0,0.0,0
611,7.097550684931506,0.285343548866887,0.8304711294606204,0.8168337776836609,0.9546829829093132,7.117456521739131,6.964000000000002,0.0060743684341707,0.33614479331849284,19,2.099315758552246,0.0,0.0,0
618,20.847098632876712,0.6288502569756801,0.5574185375763581,-0.6553831774089245,1.0061075126169354,9.311728260869568,31.843582428571434,-0.0494843296491069,0.7650945993619502,19,2.822503075185982,0.0,0.0,0
635,11.315416438356165,0.2613978829976343,0.7715073161915912,1.3000366890564905,1.019589511749742,10.255369565217395,12.689274725274727,-0.0026895993070482,0.37702989596403935,19,2.0225503961500455,0.0,0.0,0
654,16.06275890410959,0.6220785347593176,1.2383335488233769,0.8819523238348057,0.9747700223697666,8.284956521739128,28.373582417582412,-0.0334145840685253,0.8614802803101199,19,3.2106564201001313,0.0,0.0,0
664,13.947953424657534,0.3568038522392152,0.5995793602163824,0.1664590337738332,1.0419352067285064,12.1454347826087,16.11268131868132,-0.0010726839295894,0.3297205099670333,19,2.2781836899330052,0.0,0.0,0
675,4.282594520547945,0.6290346121748357,0.6708458745812398,-0.22251516248653047,0.9695483422911472,3.2682065217391307,5.5378461538461545,0.011833391737389,0.6878494423051495,19,2.862517088923819,0.0,0.0,0
720,2.674079452054795,0.531715372765269,1.2693579737108396,2.4546730117514315,1.0609650084009052,2.730880434782609,2.938032967032968,-0.0048813835838538,0.256551591750797,19,3.6850064392918718,0.0,0.0,0
728,5.37571506849315,0.2736924412841149,-0.1612206993376144,0.48474207065454866,1.1913316471055189,5.5113260869565215,6.0701098901098876,0.001149356280369,0.4497491926804984,19,1.898352101994969,0.0,0.0,0
774,7.261805479452056,0.729505383482844,0.7040666695951397,-0.5983935729857479,1.008491485326274,2.385902173913044,13.569923076923075,-0.0143877948685045,0.864419151708324,19,3.098953843321352,0.0,0.0,0
804,1.706654794520548,0.3901728987947331,1.0100277928559585,0.019851868991832333,0.977397706102844,1.5710869565217391,1.8203516483516495,-0.0001879064120249,0.07579804059368099,19,2.1867339616553414,0.0,0.0,0
810,16.88918630136986,0.4721698714698981,1.0880587586666681,1.7598353669909672,0.9737759222652304,9.836728260869565,26.52358241758242,-0.0086009873575785,0.8486930595503915,19,3.183753144794116,0.0,0.0,0
823,10.4368,0.2893916263506811,1.4481556816297203,6.535863842483598,1.027817767213127,7.905684782608693,13.069494505494506,-0.0012549709666036,0.5452017537251038,19,3.00877663651694,0.0,0.0,0
827,9.320882191780822,0.2754280869020742,0.9675181451107147,1.2585173787753403,0.9309815280712304,9.021456521739129,10.483010989010989,-0.0101362417730484,0.41794782018997245,19,2.1939983339809683,0.0,0.0,0
841,1.324967123287671,1.9546647972228297,3.240615814187211,11.304988808258177,1.0259473250451523,0.3470108695652175,3.678791208791209,0.0061119914220071,0.7716439909940883,19,13.500712346442304,0.273972602739726,1.0,0
860,6.454616438356165,0.3589429784127858,-0.14091074824425096,-0.4308970446028604,0.943498202423027,5.77925,6.908813186813189,-0.0022381444291168,0.31498905211973666,19,1.9706825527868976,0.0,0.0,0
871,29.199227397260277,0.4167855708958242,0.07697468615268357,-0.35860809545784766,1.0302625263876737,15.308282608695645,42.36919780219781,-0.031567403380361,0.8710770409091,19,2.344000376065495,0.0,0.0,0
873,2.1886054794520544,1.4591182133707965,1.9265652110594707,3.4202632878962564,0.8609888893208674,0.44729347826086946,5.616714285714287,-0.0178026772912692,0.718403398969061,19,8.40992137358999,0.0,0.0,0
