feature,importance
lag_1,319
day_of_year_sin,293
day_of_year_cos,286
std_30,229
day_of_week,204
trend_7,190
lag_7,187
lag_2,179
mean_30,176
mean_7,175
lag_3,163
min_7,141
std_14,121
std_7,120
mean_14,109
max_7,108
is_weekend,0
